common_key,full_fips,county,state,population,unemployment_rate,poverty_rate,disability_rate,homeownership_rate,Cost Per Meal ($),insecurity_rate,region,food_insecure_population,annual_budget_shortfall
cook minnesota,27031,Cook County,MN,5635,0.0384615384615384,0.100328947368421,0.123,0.777,3.8,0.1341885182186235,MW,757,545066
cottonwood minnesota,27033,Cottonwood County,MN,11458,0.0361538461538461,0.1439768591956704,0.1159999999999999,0.7440000000000001,3.34,0.1485750864837318,MW,1703,1079206
crow wing minnesota,27035,Crow Wing County,MN,67686,0.0376923076923076,0.0935696938759726,0.159,0.77,3.93,0.1392155999052844,MW,9423,7025223
dakota minnesota,27037,Dakota County,MN,445771,0.0276923076923076,0.0551805065966021,0.108,0.7490000000000001,4.15,0.1132633897285334,MW,50490,39722545
dodge minnesota,27039,Dodge County,MN,21045,0.0269230769230769,0.0676231564161733,0.1119999999999999,0.866,4.18,0.1095255033147849,MW,2305,1827004
douglas minnesota,27041,Douglas County,MN,39575,0.0269230769230769,0.0836625918167113,0.1169999999999999,0.765,3.8,0.1230115958677635,MW,4869,3505848
faribault minnesota,27043,Faribault County,MN,13914,0.033076923076923,0.1002943174100067,0.151,0.792,3.72,0.1361790979955068,MW,1895,1334723
fillmore minnesota,27045,Fillmore County,MN,21414,0.0269230769230769,0.0804905903967426,0.114,0.826,4.42,0.1170334913963339,MW,2507,2100243
freeborn minnesota,27047,Freeborn County,MN,30623,0.0292307692307692,0.1043513985415454,0.141,0.795,3.72,0.1335638181619469,MW,4091,2881451
goodhue minnesota,27049,Goodhue County,MN,47943,0.03,0.0887781752737967,0.115,0.7879999999999999,3.92,0.1240963541909005,MW,5950,4424290
grant minnesota,27051,Grant County,MN,6127,0.0376923076923076,0.1094501718213058,0.146,0.792,3.8,0.140351918583135,MW,860,619230
hennepin minnesota,27053,Hennepin County,MN,1269496,0.0269230769230769,0.0865845690290199,0.105,0.627,4.6,0.13140369230225,MW,166817,145315051
houston minnesota,27055,Houston County,MN,18653,0.0246153846153846,0.0654712027261046,0.11,0.8340000000000001,4.08,0.1096255162281436,MW,2045,1580799
hubbard minnesota,27057,Hubbard County,MN,21831,0.0469230769230769,0.1066565450491056,0.153,0.831,3.59,0.1422875883409184,MW,3107,2115232
isanti minnesota,27059,Isanti County,MN,42596,0.0376923076923076,0.0739402875046074,0.126,0.8370000000000001,3.87,0.1214076369899912,MW,5172,3795049
itasca minnesota,27061,Itasca County,MN,45275,0.0469230769230769,0.1144708926864523,0.175,0.83,3.66,0.1493089517565176,MW,6760,4695018
jackson minnesota,27063,Jackson County,MN,9933,0.0307692307692307,0.0738468049090139,0.133,0.8009999999999999,3.34,0.1221339853836388,MW,1214,769323
kanabec minnesota,27065,Kanabec County,MN,16390,0.0592307692307692,0.0992030602486452,0.159,0.845,3.63,0.145668569848704,MW,2388,1644481
kandiyohi minnesota,27067,Kandiyohi County,MN,44079,0.0323076923076923,0.0785448032144067,0.143,0.725,3.74,0.1317774131287215,MW,5809,4114300
kittson minnesota,27069,Kittson County,MN,4084,0.0315384615384615,0.0847589424572317,0.102,0.8290000000000001,3.67,0.1179846612034932,MW,482,335709
koochiching minnesota,27071,Koochiching County,MN,11833,0.0423076923076923,0.1063434486419534,0.195,0.804,3.66,0.150293563410667,MW,1779,1235568
lac qui parle minnesota,27073,Lac qui Parle County,MN,6682,0.0223076923076923,0.0737392959086584,0.155,0.825,3.67,0.120857984703213,MW,808,562765
lake minnesota,27075,Lake County,MN,10879,0.0323076923076923,0.077286306254216,0.166,0.835,3.88,0.1281035921379382,MW,1394,1025607
lake of the woods minnesota,27077,Lake of the Woods County,MN,3821,0.0392307692307692,0.0605893693197466,0.134,0.818,3.63,0.1206158244603097,MW,461,317465
le sueur minnesota,27079,Le Sueur County,MN,29113,0.04,0.0597588112841863,0.12,0.81,4.47,0.1184899253463498,MW,3450,2924087
lincoln minnesota,27081,Lincoln County,MN,5603,0.0346153846153846,0.1039556659659851,0.143,0.8140000000000001,3.67,0.1349563580237839,MW,757,527244
lyon minnesota,27083,Lyon County,MN,25503,0.0276923076923076,0.1061062317022166,0.136,0.725,3.67,0.1374187304635974,MW,3505,2441202
mcleod minnesota,27085,McLeod County,MN,36798,0.033076923076923,0.0857469294487289,0.129,0.774,3.84,0.1282713651923626,MW,4721,3436333
mahnomen minnesota,27087,Mahnomen County,MN,5358,0.0469230769230769,0.1736883942766295,0.165,0.733,3.8,0.1738761622844564,MW,932,671073
marshall minnesota,27089,Marshall County,MN,8909,0.0453846153846153,0.0794491525423728,0.131,0.83,3.67,0.1282620417209909,MW,1143,796090
martin minnesota,27091,Martin County,MN,19780,0.0307692307692307,0.1245962404024357,0.168,0.6890000000000001,3.97,0.1538647979674549,MW,3044,2293312
meeker minnesota,27093,Meeker County,MN,23468,0.0353846153846153,0.0849830568931692,0.135,0.7929999999999999,3.64,0.1289182979654552,MW,3026,2089772
mille lacs minnesota,27095,Mille Lacs County,MN,27125,0.0453846153846153,0.1016063479775498,0.157,0.779,3.63,0.1443872306054696,MW,3917,2697416
morrison minnesota,27097,Morrison County,MN,34249,0.043076923076923,0.1072028848210738,0.141,0.8059999999999999,3.65,0.1400987423759811,MW,4799,3323631
mower minnesota,27099,Mower County,MN,40343,0.0269230769230769,0.0991541724855735,0.126,0.7759999999999999,3.6,0.1291558006498258,MW,5211,3557850
murray minnesota,27101,Murray County,MN,8097,0.0369230769230769,0.0836873953907557,0.134,0.8220000000000001,3.34,0.1269388306543463,MW,1028,651452
nicollet minnesota,27103,Nicollet County,MN,34411,0.023076923076923,0.0753364965624092,0.121,0.722,4.38,0.1223231014741044,MW,4210,3493894
nobles minnesota,27105,Nobles County,MN,22041,0.0276923076923076,0.1360926670867057,0.1169999999999999,0.742,3.34,0.1424052270112478,MW,3139,1989212
norman minnesota,27107,Norman County,MN,6367,0.0307692307692307,0.0977367979882648,0.134,0.794,3.84,0.1307604630859501,MW,833,606326
olmsted minnesota,27109,Olmsted County,MN,164498,0.0238461538461538,0.0669509704766383,0.105,0.706,3.96,0.1178609529674747,MW,19388,14568644
otter tail minnesota,27111,Otter Tail County,MN,60475,0.0353846153846153,0.0841585878592029,0.145,0.795,3.55,0.1304825742461784,MW,7891,5310231
pennington minnesota,27113,Pennington County,MN,13791,0.0446153846153846,0.0958758179881296,0.154,0.722,3.6,0.1455838484951359,MW,2008,1370977
pine minnesota,27115,Pine County,MN,29640,0.0569230769230769,0.1075730557880563,0.176,0.816,3.59,0.1528108699062501,MW,4530,3084004
pipestone minnesota,27117,Pipestone County,MN,9284,0.0292307692307692,0.1033890542706663,0.143,0.8079999999999999,3.72,0.132717319864015,MW,1233,868450
polk minnesota,27119,Polk County,MN,30705,0.0307692307692307,0.1161792137401893,0.1169999999999999,0.713,3.6,0.139268345115589,MW,4277,2920154
pope minnesota,27121,Pope County,MN,11418,0.0315384615384615,0.0937931034482758,0.135,0.835,3.8,0.1270920026525199,MW,1452,1045490
ramsey minnesota,27123,Ramsey County,MN,542945,0.0276923076923076,0.1108216716537631,0.123,0.606,4.37,0.1448592565275109,MW,78651,65118445
red lake minnesota,27125,Red Lake County,MN,3915,0.05,0.0712182061579651,0.123,0.8340000000000001,3.6,0.1257844444444444,MW,493,336599
redwood minnesota,27127,Redwood County,MN,15350,0.0292307692307692,0.1308031409285025,0.1369999999999999,0.784,3.67,0.1423347966344166,MW,2185,1521834
renville minnesota,27129,Renville County,MN,14558,0.043076923076923,0.1028899215800174,0.131,0.802,3.74,0.1369708385799504,MW,1995,1412985
rice minnesota,27131,Rice County,MN,67917,0.0307692307692307,0.0922166402862845,0.105,0.763,4.13,0.1253867707288926,MW,8516,6666469
rock minnesota,27133,Rock County,MN,9621,0.0192307692307692,0.0910088923043144,0.103,0.7659999999999999,3.76,0.1190691060911862,MW,1146,816167
roseau minnesota,27135,Roseau County,MN,15302,0.0323076923076923,0.1160451590831337,0.114,0.792,3.6,0.1337285312771388,MW,2047,1397604
st. louis minnesota,27137,St. Louis County,MN,200123,0.0346153846153846,0.1053332837888769,0.156,0.7120000000000001,3.88,0.145229727140984,MW,29064,21383263
scott minnesota,27139,Scott County,MN,154557,0.0261538461538461,0.0427985769947484,0.084,0.838,4.19,0.0973738967930257,MW,15050,11958559
sherburne minnesota,27141,Sherburne County,MN,100560,0.0307692307692307,0.049071631973268,0.103,0.8320000000000001,4.15,0.1057676279689711,MW,10636,8367776
sibley minnesota,27143,Sibley County,MN,15005,0.0361538461538461,0.0891799623772033,0.141,0.8079999999999999,3.84,0.1307885167400007,MW,1963,1428834
stearns minnesota,27145,Stearns County,MN,160865,0.0323076923076923,0.1073302838202898,0.1169999999999999,0.679,3.75,0.1394521926898747,MW,22433,15932476
steele minnesota,27147,Steele County,MN,37439,0.0346153846153846,0.0782390638060741,0.1169999999999999,0.794,3.96,0.1226904461066935,MW,4594,3452050
stevens minnesota,27149,Stevens County,MN,9739,0.0215384615384615,0.0724052902936561,0.123,0.634,3.8,0.1272862486851861,MW,1240,892843
swift minnesota,27151,Swift County,MN,9748,0.0392307692307692,0.1184480708959256,0.19,0.7240000000000001,3.74,0.1575869133836011,MW,1537,1088600
todd minnesota,27153,Todd County,MN,25575,0.0392307692307692,0.1099562814484863,0.127,0.83,3.9,0.1347676392870513,MW,3447,2549588
traverse minnesota,27155,Traverse County,MN,3243,0.0238461538461538,0.1077329808327825,0.172,0.818,3.8,0.1367145804057146,MW,444,319695
wabasha minnesota,27157,Wabasha County,MN,21565,0.0276923076923076,0.0699773176970223,0.111,0.833,4.43,0.1128059310138729,MW,2433,2043023
wadena minnesota,27159,Wadena County,MN,14256,0.0453846153846153,0.1048708876006926,0.153,0.736,3.59,0.147732057760353,MW,2107,1434437
waseca minnesota,27161,Waseca County,MN,18885,0.0361538461538461,0.0710894986685191,0.1169999999999999,0.807,3.96,0.1201014827887175,MW,2269,1704985
washington minnesota,27163,Washington County,MN,276238,0.0261538461538461,0.0486844446800374,0.099,0.813,4.21,0.1040730048645416,MW,28749,22956436
watonwan minnesota,27165,Watonwan County,MN,11205,0.0323076923076923,0.1277751310147689,0.1159999999999999,0.778,3.81,0.1390128819584417,MW,1558,1124871
wilkin minnesota,27167,Wilkin County,MN,6371,0.0246153846153846,0.1334898541002851,0.134,0.797,3.55,0.1395867084843715,MW,890,598924
winona minnesota,27169,Winona County,MN,49779,0.023076923076923,0.096588664003161,0.1169999999999999,0.695,3.92,0.1305038210644341,MW,6497,4831027
wright minnesota,27171,Wright County,MN,148269,0.0284615384615384,0.048471100369593,0.091,0.841,4.2,0.1014917130150126,MW,15049,11987289
yellow medicine minnesota,27173,Yellow Medicine County,MN,9451,0.0315384615384615,0.0809586922907002,0.139,0.84,3.67,0.1232679781482048,MW,1166,812109
adams mississippi,28001,Adams County,MS,28803,0.0492307692307692,0.2485336400230017,0.147,0.6809999999999999,3.73,0.1999143223337904,S,5759,4069305
alcorn mississippi,28003,Alcorn County,MS,34289,0.0323076923076923,0.1552011867235305,0.226,0.6779999999999999,3.6,0.1769983324537506,S,6070,4144075
amite mississippi,28005,Amite County,MS,12565,0.0438461538461538,0.2781050360905998,0.242,0.8240000000000001,3.63,0.2159121027513099,S,2713,1868403
attala mississippi,28007,Attala County,MS,17526,0.0353846153846153,0.1641214462485664,0.168,0.753,3.3,0.1645662432314471,S,2885,1803102
benton mississippi,28009,Benton County,MS,7589,0.0338461538461538,0.1997520319603251,0.263,0.86,3.57,0.1869009053800587,S,1419,960298
bolivar mississippi,28011,Bolivar County,MS,29534,0.0423076923076923,0.3039030650762494,0.1889999999999999,0.626,3.77,0.2273333560668533,S,6715,4798276
calhoun mississippi,28013,Calhoun County,MS,12922,0.0315384615384615,0.1975686337653973,0.225,0.72,3.53,0.1875304787178042,S,2424,1621126
carroll mississippi,28015,Carroll County,MS,9686,0.0392307692307692,0.1772762995396878,0.216,0.8370000000000001,3.68,0.1742428852933302,S,1688,1175940
chickasaw mississippi,28017,Chickasaw County,MS,16915,0.0453846153846153,0.2267969295184926,0.146,0.703,3.55,0.1891685036770626,S,3200,2152838
choctaw mississippi,28019,Choctaw County,MS,8118,0.04,0.1747535526821149,0.228,0.794,3.98,0.1791881794904622,S,1455,1097607
claiborne mississippi,28021,Claiborne County,MS,8582,0.0876923076923077,0.3025027203482046,0.134,0.765,3.87,0.2269863646940654,S,1948,1430738
clarke mississippi,28023,Clarke County,MS,15314,0.0346153846153846,0.1716535433070866,0.244,0.823,3.59,0.1767910533010296,S,2708,1843400
clay mississippi,28025,Clay County,MS,18383,0.0423076923076923,0.1974966833938974,0.12,0.713,3.98,0.1721674373483124,S,3165,2387578
coahoma mississippi,28027,Coahoma County,MS,20540,0.0669230769230769,0.3312529255734124,0.161,0.521,3.58,0.2496475866749883,S,5128,3480544
copiah mississippi,28029,Copiah County,MS,27855,0.0353846153846153,0.2195773339526242,0.168,0.7440000000000001,3.5,0.1836165979491943,S,5115,3390273
covington mississippi,28031,Covington County,MS,18148,0.033076923076923,0.1897214776832537,0.179,0.775,3.52,0.1726199152062248,S,3133,2089056
desoto mississippi,28033,DeSoto County,MS,191301,0.0315384615384615,0.0899972152299619,0.126,0.779,3.87,0.1280257677640397,S,24492,17988518
forrest mississippi,28035,Forrest County,MS,78272,0.033076923076923,0.1810001827716619,0.192,0.5720000000000001,3.86,0.1867114452955763,S,14615,10705117
franklin mississippi,28037,Franklin County,MS,7622,0.0446153846153846,0.245750033999728,0.201,0.8170000000000001,3.55,0.1979030882109866,S,1509,1015198
george mississippi,28039,George County,MS,25170,0.0469230769230769,0.1863209578775088,0.208,0.821,3.53,0.1803361733999483,S,4540,3036267
greene mississippi,28041,Greene County,MS,13615,0.0638461538461538,0.185059247810407,0.273,0.8220000000000001,3.53,0.2005009010422859,S,2730,1825772
grenada mississippi,28043,Grenada County,MS,21217,0.0376923076923076,0.2414207103551776,0.208,0.6659999999999999,3.62,0.2053881373763805,S,4358,2992616
hancock mississippi,28045,Hancock County,MS,46167,0.0276923076923076,0.136498114230222,0.204,0.792,3.84,0.1562158354628952,S,7213,5254626
harrison mississippi,28047,Harrison County,MS,210891,0.0315384615384615,0.1594137155875444,0.1989999999999999,0.622,3.72,0.1766730458827571,S,37259,26253017
hinds mississippi,28049,Hinds County,MS,218533,0.0346153846153846,0.2126496924702096,0.155,0.583,3.94,0.1898197748231865,S,41482,30962478
holmes mississippi,28051,Holmes County,MS,16191,0.06,0.3503654574986464,0.301,0.61,3.61,0.2742093318895506,S,4440,3040088
humphreys mississippi,28053,Humphreys County,MS,7395,0.0607692307692307,0.2611784371082323,0.262,0.617,3.61,0.2367340872737793,S,1751,1198918
issaquena mississippi,28055,Issaquena County,MS,928,0.0861538461538461,0.1615508885298869,0.336,0.66,3.72,0.2269336642226916,S,211,148673
itawamba mississippi,28057,Itawamba County,MS,24036,0.0307692307692307,0.1346639137416838,0.146,0.79,3.52,0.1456802655160852,S,3502,2335101
jackson mississippi,28059,Jackson County,MS,145249,0.033076923076923,0.1317245895976221,0.215,0.727,3.86,0.1639009483617951,S,23807,17438023
jasper mississippi,28061,Jasper County,MS,16059,0.0361538461538461,0.192157881069852,0.231,0.821,3.64,0.1818741857459601,S,2921,2017464
jefferson mississippi,28063,Jefferson County,MS,7068,0.1,0.3004057428214731,0.131,0.8290000000000001,3.73,0.2268137066167291,S,1604,1133385
jefferson davis mississippi,28065,Jefferson Davis County,MS,11117,0.0376923076923076,0.2779088421251297,0.2319999999999999,0.845,3.55,0.2095451971240046,S,2330,1567536
jones mississippi,28067,Jones County,MS,66472,0.0269230769230769,0.1760580333499173,0.175,0.7509999999999999,3.64,0.1661648824567879,S,11046,7629204
kemper mississippi,28069,Kemper County,MS,8729,0.0461538461538461,0.2305385317512061,0.201,0.79,3.48,0.1954775617721697,S,1707,1124622
lafayette mississippi,28071,Lafayette County,MS,58327,0.0253846153846153,0.1151029568093232,0.115,0.638,4.39,0.1413631047376183,S,8246,6860636
lamar mississippi,28073,Lamar County,MS,65713,0.0284615384615384,0.1308977564001139,0.159,0.695,3.9,0.1526873628171455,S,10034,7409566
lauderdale mississippi,28075,Lauderdale County,MS,71504,0.0338461538461538,0.2431083757995494,0.181,0.6509999999999999,3.59,0.1998982115346811,S,14294,9730264
lawrence mississippi,28077,Lawrence County,MS,11786,0.0353846153846153,0.2164330424050075,0.294,0.835,3.55,0.2010596931553855,S,2370,1594446
leake mississippi,28079,Leake County,MS,21319,0.0315384615384615,0.1979187613110798,0.173,0.767,3.3,0.1740137210629708,S,3710,2318721
lee mississippi,28081,Lee County,MS,83034,0.0315384615384615,0.1352356378538362,0.14,0.708,3.74,0.1508579240751659,S,12527,8876502
leflore mississippi,28083,Leflore County,MS,27141,0.0584615384615384,0.2959477548371395,0.2019999999999999,0.524,3.68,0.2419389622982379,S,6567,4574881
lincoln mississippi,28085,Lincoln County,MS,34877,0.0346153846153846,0.2044743805629059,0.1689999999999999,0.7490000000000001,3.55,0.1780915712699617,S,6212,4179197
lowndes mississippi,28087,Lowndes County,MS,57838,0.0338461538461538,0.1647272121806375,0.132,0.613,3.85,0.1668716652132024,S,9652,7050633
madison mississippi,28089,Madison County,MS,111647,0.0261538461538461,0.1058233894703188,0.1119999999999999,0.713,3.97,0.132717134534915,S,14818,11148749
marion mississippi,28091,Marion County,MS,24193,0.0392307692307692,0.191829484902309,0.23,0.772,3.55,0.1864615428337204,S,4512,3035502
marshall mississippi,28093,Marshall County,MS,33979,0.0392307692307692,0.2228952540516158,0.236,0.7909999999999999,3.52,0.1966143781912903,S,6681,4454829
monroe mississippi,28095,Monroe County,MS,33747,0.043076923076923,0.1713728082601441,0.1689999999999999,0.763,3.55,0.1700001569577524,S,5737,3859635
montgomery mississippi,28097,Montgomery County,MS,9602,0.0369230769230769,0.2291304347826087,0.187,0.758,3.62,0.1902639197324414,S,1827,1254592
neshoba mississippi,28099,Neshoba County,MS,28932,0.033076923076923,0.2159740114260109,0.176,0.7809999999999999,3.48,0.1803157564088203,S,5217,3437112
newton mississippi,28101,Newton County,MS,21093,0.033076923076923,0.2348899679718979,0.222,0.7909999999999999,3.4,0.1949938539820547,S,4114,2653103
noxubee mississippi,28103,Noxubee County,MS,10025,0.0461538461538461,0.2460632029994643,0.268,0.73,3.98,0.2181577526265914,S,2188,1650560
oktibbeha mississippi,28105,Oktibbeha County,MS,51771,0.0376923076923076,0.1444554277498203,0.127,0.48,3.98,0.1703636635514018,S,8820,6653537
panola mississippi,28107,Panola County,MS,32808,0.0446153846153846,0.2232798824506484,0.176,0.711,3.71,0.1930189978966922,S,6333,4449682
pearl river mississippi,28109,Pearl River County,MS,57458,0.0323076923076923,0.1576765788938028,0.212,0.804,3.69,0.166102162654281,S,9544,6667796
perry mississippi,28111,Perry County,MS,11449,0.0392307692307692,0.1724390021018002,0.27,0.815,3.86,0.1848909025439515,S,2117,1550648
pike mississippi,28113,Pike County,MS,39602,0.0453846153846153,0.2531607629427793,0.1939999999999999,0.6679999999999999,3.63,0.2099102963739258,S,8313,5725041
pontotoc mississippi,28115,Pontotoc County,MS,31550,0.0338461538461538,0.1619746364783215,0.19,0.698,3.53,0.1714068100800335,S,5408,3616768
prentiss mississippi,28117,Prentiss County,MS,25184,0.0323076923076923,0.1597976041171128,0.188,0.775,3.42,0.1641133430284199,S,4134,2682457
quitman mississippi,28119,Quitman County,MS,5774,0.0476923076923076,0.2812671671854971,0.184,0.647,3.58,0.2198141610440466,S,1270,861991
rankin mississippi,28121,Rankin County,MS,158854,0.0223076923076923,0.0899484034594507,0.156,0.768,3.9,0.1304844084100761,S,20728,15306506
scott mississippi,28123,Scott County,MS,27718,0.0292307692307692,0.208710880986827,0.183,0.713,3.32,0.1823491663337804,S,5055,3179458
sharkey mississippi,28125,Sharkey County,MS,3872,0.0523076923076923,0.2933369447453954,0.17,0.665,3.61,0.2218944041170097,S,860,588846
simpson mississippi,28127,Simpson County,MS,25691,0.0323076923076923,0.1956279645287688,0.213,0.8140000000000001,3.52,0.1781900226850897,S,4578,3052568
smith mississippi,28129,Smith County,MS,14132,0.0307692307692307,0.1659388646288209,0.209,0.8740000000000001,3.52,0.1625735492106147,S,2298,1532285
stone mississippi,28131,Stone County,MS,18894,0.0353846153846153,0.1566489662185063,0.2189999999999999,0.807,3.72,0.1683493798614672,S,3181,2241361
sunflower mississippi,28133,Sunflower County,MS,24333,0.0446153846153846,0.2768597067621242,0.147,0.5489999999999999,3.6,0.2165674995681022,S,5270,3597903
tallahatchie mississippi,28135,Tallahatchie County,MS,11764,0.0369230769230769,0.2394056136488717,0.165,0.645,3.62,0.1973422791160408,S,2322,1594506
tate mississippi,28137,Tate County,MS,28321,0.033076923076923,0.1595625458901727,0.166,0.76,3.49,0.1610981498509219,S,4563,3015319
tippah mississippi,28139,Tippah County,MS,21523,0.0323076923076923,0.1859520507232019,0.2019999999999999,0.748,3.57,0.1774856193016415,S,3821,2585835
tishomingo mississippi,28141,Tishomingo County,MS,18660,0.0353846153846153,0.1804629266378972,0.213,0.795,3.42,0.1759196147207049,S,3283,2130263
tunica mississippi,28143,Tunica County,MS,9475,0.0469230769230769,0.2953629032258064,0.105,0.395,3.49,0.2263900992555831,S,2146,1418118
union mississippi,28145,Union County,MS,28122,0.0269230769230769,0.1480793521063972,0.201,0.747,3.59,0.1623079602839392,S,4565,3107503
walthall mississippi,28147,Walthall County,MS,13839,0.0438461538461538,0.1815947150099861,0.236,0.8029999999999999,3.55,0.1841736761525462,S,2549,1714870
warren mississippi,28149,Warren County,MS,43020,0.0392307692307692,0.1844620060790273,0.183,0.6990000000000001,3.87,0.1798925398643909,S,7739,5684024
washington mississippi,28151,Washington County,MS,42765,0.0492307692307692,0.2580003481114951,0.2339999999999999,0.602,3.72,0.2258922694191702,S,9661,6807225
wayne mississippi,28153,Wayne County,MS,19718,0.0384615384615384,0.2144666033554922,0.201,0.853,3.64,0.1821302200063311,S,3592,2480907
webster mississippi,28155,Webster County,MS,9972,0.0307692307692307,0.1594963273871983,0.2239999999999999,0.7609999999999999,3.98,0.171427626846396,S,1710,1289971
wilkinson mississippi,28157,Wilkinson County,MS,8162,0.0561538461538461,0.2624744674642544,0.198,0.784,3.73,0.2105122924289017,S,1719,1214644
winston mississippi,28159,Winston County,MS,17536,0.0369230769230769,0.2548561151079136,0.236,0.73,3.48,0.2104948456004427,S,3692,2432397
yalobusha mississippi,28161,Yalobusha County,MS,12419,0.033076923076923,0.2002535925612848,0.201,0.693,3.62,0.1862945773457311,S,2314,1589012
yazoo mississippi,28163,Yazoo County,MS,24835,0.0392307692307692,0.2953528574333943,0.217,0.5529999999999999,3.61,0.2338063025140407,S,5807,3976080
adair missouri,29001,Adair County,MO,25301,0.0407692307692307,0.1275905007560259,0.124,0.61,3.58,0.1563558924048468,MW,3956,2685466
andrew missouri,29003,Andrew County,MO,18065,0.0292307692307692,0.0614243495393173,0.1119999999999999,0.767,3.6,0.1155580378932072,MW,2088,1425598
atchison missouri,29005,Atchison County,MO,5187,0.0269230769230769,0.1085085085085085,0.179,0.768,3.66,0.1433234402094402,MW,744,516729
audrain missouri,29007,Audrain County,MO,24548,0.0346153846153846,0.169328930929859,0.195,0.718,3.54,0.1737722819917901,MW,4266,2862426
barry missouri,29009,Barry County,MO,35033,0.0384615384615384,0.1435656876512593,0.16,0.773,3.35,0.1561531159925258,MW,5471,3477756
barton missouri,29011,Barton County,MO,11690,0.0353846153846153,0.1902746510580819,0.206,0.6809999999999999,3.42,0.1858851072282062,MW,2173,1406892
bates missouri,29013,Bates County,MO,16186,0.0346153846153846,0.1527786912199934,0.18,0.7490000000000001,3.74,0.1631066024081147,MW,2641,1870522
benton missouri,29015,Benton County,MO,20151,0.0484615384615384,0.187909423840718,0.248,0.838,3.53,0.1882842364074261,MW,3795,2538946
bollinger missouri,29017,Bollinger County,MO,10559,0.0346153846153846,0.1376633585536012,0.1939999999999999,0.823,3.56,0.1556063119628725,MW,1644,1109551
boone missouri,29019,Boone County,MO,188043,0.0284615384615384,0.1063399071925754,0.126,0.5770000000000001,3.96,0.1463781568802427,MW,27526,20683746
buchanan missouri,29021,Buchanan County,MO,83568,0.0353846153846153,0.1495029051000645,0.183,0.6629999999999999,3.59,0.1690728875701445,MW,14130,9619643
butler missouri,29023,Butler County,MO,42020,0.0469230769230769,0.1970921249271764,0.243,0.6459999999999999,3.35,0.203267200860438,MW,8542,5429901
caldwell missouri,29025,Caldwell County,MO,8927,0.0369230769230769,0.1024658846061766,0.148,0.782,4.2,0.138785289073866,MW,1239,986927
callaway missouri,29027,Callaway County,MO,44741,0.0261538461538461,0.1168867374610335,0.157,0.755,3.45,0.1423181660678323,MW,6368,4160396
camden missouri,29029,Camden County,MO,43667,0.0423076923076923,0.1204111600587371,0.181,0.825,3.72,0.1507010436010392,MW,6581,4635255
cape girardeau missouri,29031,Cape Girardeau County,MO,82735,0.0307692307692307,0.1123169456066945,0.146,0.6679999999999999,3.54,0.1469230720952687,MW,12156,8156505
carroll missouri,29033,Carroll County,MO,8411,0.0384615384615384,0.1284323514727908,0.15,0.7190000000000001,3.45,0.1529828483812742,MW,1287,840834
carter missouri,29035,Carter County,MO,5297,0.043076923076923,0.1895489767534273,0.286,0.607,3.36,0.2102766448975225,MW,1114,710323
cass missouri,29037,Cass County,MO,110773,0.033076923076923,0.0580759847954764,0.14,0.7559999999999999,3.76,0.1225406115674828,MW,13575,9667937
cedar missouri,29039,Cedar County,MO,14615,0.0392307692307692,0.1647382123228232,0.19,0.741,3.48,0.1717482403373312,MW,2511,1655287
chariton missouri,29041,Chariton County,MO,7390,0.0346153846153846,0.0787861103005544,0.147,0.835,3.47,0.125901065542861,MW,931,611902
christian missouri,29043,Christian County,MO,92915,0.0276923076923076,0.0772319771431142,0.126,0.759,3.78,0.1234384779499754,MW,11470,8213790
clark missouri,29045,Clark County,MO,6675,0.0423076923076923,0.1120101538949706,0.134,0.7829999999999999,3.71,0.1415879095546687,MW,946,664449
clay missouri,29047,Clay County,MO,258122,0.0315384615384615,0.0784458699122917,0.133,0.695,3.86,0.1315407211185731,MW,33954,24847752
clinton missouri,29049,Clinton County,MO,21414,0.0353846153846153,0.1184107002360346,0.153,0.757,4.18,0.1461362755552865,MW,3130,2480921
cole missouri,29051,Cole County,MO,77032,0.0261538461538461,0.0853466944078807,0.131,0.679,3.64,0.1320948717741856,MW,10176,7027601
cooper missouri,29053,Cooper County,MO,16824,0.033076923076923,0.1127025754824826,0.151,0.757,3.96,0.1427836396755689,MW,2403,1805676
crawford missouri,29055,Crawford County,MO,22797,0.0415384615384615,0.1376270242680154,0.201,0.6920000000000001,3.6,0.1694658643646734,MW,3864,2638175
dade missouri,29057,Dade County,MO,7641,0.033076923076923,0.1212204887477564,0.186,0.77,3.41,0.1516185868796397,MW,1159,748113
dallas missouri,29059,Dallas County,MO,17551,0.0438461538461538,0.1855408588512411,0.22,0.759,3.51,0.1854397959078428,MW,3255,2164901
daviess missouri,29061,Daviess County,MO,8477,0.0276923076923076,0.1078517039071277,0.157,0.7909999999999999,4.18,0.1374702272356279,MW,1166,924202
dekalb missouri,29063,DeKalb County,MO,10876,0.0315384615384615,0.0856778974180849,0.159,0.711,4.18,0.1379537542504965,MW,1501,1189733
dent missouri,29065,Dent County,MO,14539,0.0346153846153846,0.1196001428061406,0.205,0.759,3.6,0.1563313243347156,MW,2273,1551908
douglas missouri,29067,Douglas County,MO,11965,0.0415384615384615,0.1761621810555749,0.191,0.8059999999999999,3.5,0.1721855364181432,MW,2061,1366728
dunklin missouri,29069,Dunklin County,MO,27493,0.0492307692307692,0.2148634392216621,0.221,0.623,3.27,0.2075058156677457,MW,5705,3536960
franklin missouri,29071,Franklin County,MO,105950,0.0346153846153846,0.0785608742649173,0.144,0.765,3.79,0.1302022871790294,MW,13795,9905813
