"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"Blanco County, Texas",""
"    Estimate","3,938"
"    Percent","76.2%"
"Borden County, Texas",""
"    Estimate","161"
"    Percent","66.3%"
"Bosque County, Texas",""
"    Estimate","5,684"
"    Percent","75.8%"
"Bowie County, Texas",""
"    Estimate","22,253"
"    Percent","63.4%"
"Brazoria County, Texas",""
"    Estimate","99,275"
"    Percent","74.1%"
"Brazos County, Texas",""
"    Estimate","42,666"
"    Percent","46.8%"
"Brewster County, Texas",""
"    Estimate","3,094"
"    Percent","62.5%"
"Briscoe County, Texas",""
"    Estimate","458"
"    Percent","82.8%"
"Brooks County, Texas",""
"    Estimate","1,572"
"    Percent","52.8%"
"Brown County, Texas",""
"    Estimate","10,223"
"    Percent","68.3%"
"Burleson County, Texas",""
"    Estimate","6,456"
"    Percent","81.7%"
"Burnet County, Texas",""
"    Estimate","16,000"
"    Percent","76.3%"
"Caldwell County, Texas",""
"    Estimate","12,537"
"    Percent","75.3%"
"Calhoun County, Texas",""
"    Estimate","6,699"
"    Percent","77.3%"
"Callahan County, Texas",""
"    Estimate","4,240"
"    Percent","80.9%"
"Cameron County, Texas",""
"    Estimate","90,278"
"    Percent","65.2%"
"Camp County, Texas",""
"    Estimate","3,733"
"    Percent","77.5%"
"Carson County, Texas",""
"    Estimate","1,816"
"    Percent","79.2%"
"Cass County, Texas",""
"    Estimate","9,041"
"    Percent","76.6%"
"Castro County, Texas",""
"    Estimate","1,534"
"    Percent","63.6%"
"Chambers County, Texas",""
"    Estimate","14,052"
"    Percent","81.6%"
"Cherokee County, Texas",""
"    Estimate","13,453"
"    Percent","74.0%"
"Childress County, Texas",""
"    Estimate","1,305"
"    Percent","71.0%"
"Clay County, Texas",""
"    Estimate","3,602"
"    Percent","84.0%"
"Cochran County, Texas",""
"    Estimate","596"
"    Percent","64.6%"
"Coke County, Texas",""
"    Estimate","1,134"
"    Percent","71.1%"
"Coleman County, Texas",""
"    Estimate","2,580"
"    Percent","77.2%"
"Collin County, Texas",""
"    Estimate","268,813"
"    Percent","64.5%"
"Collingsworth County, Texas",""
"    Estimate","720"
"    Percent","73.8%"
"Colorado County, Texas",""
"    Estimate","6,311"
"    Percent","79.5%"
"Comal County, Texas",""
"    Estimate","54,667"
"    Percent","76.6%"
"Comanche County, Texas",""
"    Estimate","4,308"
"    Percent","80.4%"
"Concho County, Texas",""
"    Estimate","655"
"    Percent","80.5%"
"Cooke County, Texas",""
"    Estimate","11,873"
"    Percent","71.8%"
"Coryell County, Texas",""
"    Estimate","15,803"
"    Percent","58.6%"
"Cottle County, Texas",""
"    Estimate","480"
"    Percent","83.2%"
"Crane County, Texas",""
"    Estimate","1,367"
"    Percent","83.8%"
"Crockett County, Texas",""
"    Estimate","903"
"    Percent","73.7%"
"Crosby County, Texas",""
"    Estimate","1,328"
"    Percent","68.8%"
"Culberson County, Texas",""
"    Estimate","609"
"    Percent","70.2%"
"Dallam County, Texas",""
"    Estimate","1,654"
"    Percent","64.0%"
"Dallas County, Texas",""
"    Estimate","498,911"
"    Percent","50.8%"
"Dawson County, Texas",""
"    Estimate","2,856"
"    Percent","70.6%"
"Deaf Smith County, Texas",""
"    Estimate","4,043"
"    Percent","66.8%"
"Delta County, Texas",""
"    Estimate","1,800"
"    Percent","82.8%"
"Denton County, Texas",""
"    Estimate","235,923"
"    Percent","65.5%"
"DeWitt County, Texas",""
"    Estimate","5,116"
"    Percent","73.9%"
"Dickens County, Texas",""
"    Estimate","578"
"    Percent","79.5%"
"Dimmit County, Texas",""
"    Estimate","1,995"
"    Percent","66.5%"
"Donley County, Texas",""
"    Estimate","883"
"    Percent","74.8%"
"Duval County, Texas",""
"    Estimate","2,149"
"    Percent","70.4%"
"Eastland County, Texas",""
"    Estimate","5,180"
"    Percent","71.6%"
"Ector County, Texas",""
"    Estimate","41,753"
"    Percent","64.7%"
"Edwards County, Texas",""
"    Estimate","355"
"    Percent","87.9%"
"Ellis County, Texas",""
"    Estimate","54,389"
"    Percent","75.8%"
"El Paso County, Texas",""
"    Estimate","192,456"
"    Percent","64.2%"
"Erath County, Texas",""
"    Estimate","10,619"
"    Percent","63.1%"
"Falls County, Texas",""
"    Estimate","4,851"
"    Percent","76.5%"
"Fannin County, Texas",""
"    Estimate","10,051"
"    Percent","78.7%"
"Fayette County, Texas",""
"    Estimate","8,257"
"    Percent","79.4%"
"Fisher County, Texas",""
"    Estimate","1,258"
"    Percent","80.4%"
"Floyd County, Texas",""
"    Estimate","1,430"
"    Percent","73.3%"
"Foard County, Texas",""
"    Estimate","332"
"    Percent","76.0%"
"Fort Bend County, Texas",""
"    Estimate","225,271"
"    Percent","77.0%"
"Franklin County, Texas",""
"    Estimate","3,197"
"    Percent","82.0%"
"Freestone County, Texas",""
"    Estimate","5,348"
"    Percent","75.4%"
"Frio County, Texas",""
"    Estimate","3,205"
"    Percent","58.9%"
"Gaines County, Texas",""
"    Estimate","5,171"
"    Percent","74.6%"
"Galveston County, Texas",""
"    Estimate","95,138"
"    Percent","67.6%"
"Garza County, Texas",""
"    Estimate","1,032"
"    Percent","70.5%"
"Gillespie County, Texas",""
"    Estimate","8,624"
"    Percent","74.9%"
"Glasscock County, Texas",""
"    Estimate","315"
"    Percent","68.5%"
"Goliad County, Texas",""
"    Estimate","2,441"
"    Percent","86.8%"
"Gonzales County, Texas",""
"    Estimate","5,248"
"    Percent","66.2%"
"Gray County, Texas",""
"    Estimate","6,103"
"    Percent","76.4%"
"Grayson County, Texas",""
"    Estimate","36,895"
"    Percent","66.8%"
"Gregg County, Texas",""
"    Estimate","29,127"
"    Percent","60.3%"
"Grimes County, Texas",""
"    Estimate","8,196"
"    Percent","79.9%"
"Guadalupe County, Texas",""
"    Estimate","50,915"
"    Percent","77.8%"
"Hale County, Texas",""
"    Estimate","6,674"
"    Percent","60.5%"
"Hall County, Texas",""
"    Estimate","860"
"    Percent","73.6%"
"Hamilton County, Texas",""
"    Estimate","2,455"
"    Percent","78.7%"
"Hansford County, Texas",""
"    Estimate","1,508"
"    Percent","81.2%"
"Hardeman County, Texas",""
"    Estimate","909"
"    Percent","73.9%"
"Hardin County, Texas",""
"    Estimate","18,294"
"    Percent","82.3%"
"Harris County, Texas",""
"    Estimate","961,437"
"    Percent","54.7%"
"Harrison County, Texas",""
"    Estimate","20,205"
"    Percent","76.9%"
"Hartley County, Texas",""
"    Estimate","1,215"
"    Percent","74.4%"
"Haskell County, Texas",""
"    Estimate","1,564"
"    Percent","73.7%"
"Hays County, Texas",""
"    Estimate","64,042"
"    Percent","64.1%"
"Hemphill County, Texas",""
"    Estimate","1,049"
"    Percent","71.1%"
"Henderson County, Texas",""
"    Estimate","26,126"
"    Percent","77.8%"
"Hidalgo County, Texas",""
"    Estimate","182,271"
"    Percent","67.5%"
"Hill County, Texas",""
"    Estimate","10,767"
"    Percent","78.2%"
"Hockley County, Texas",""
"    Estimate","5,715"
"    Percent","72.2%"
"Hood County, Texas",""
"    Estimate","20,716"
"    Percent","81.2%"
"Hopkins County, Texas",""
"    Estimate","9,957"
"    Percent","71.1%"
"Houston County, Texas",""
"    Estimate","5,639"
"    Percent","70.6%"
"Howard County, Texas",""
"    Estimate","8,474"
"    Percent","69.5%"
"Hudspeth County, Texas",""
"    Estimate","620"
"    Percent","73.6%"
"Hunt County, Texas",""
"    Estimate","27,435"
"    Percent","71.3%"
"Hutchinson County, Texas",""
"    Estimate","5,829"
"    Percent","83.3%"
"Irion County, Texas",""
"    Estimate","487"
"    Percent","82.8%"
"Jack County, Texas",""
"    Estimate","2,156"
"    Percent","72.2%"
"Jackson County, Texas",""
"    Estimate","4,265"
"    Percent","70.8%"
"Jasper County, Texas",""
"    Estimate","10,941"
"    Percent","79.0%"
"Jeff Davis County, Texas",""
"    Estimate","850"
"    Percent","88.0%"
"Jefferson County, Texas",""
"    Estimate","59,256"
"    Percent","62.5%"
"Jim Hogg County, Texas",""
"    Estimate","721"
"    Percent","56.4%"
"Jim Wells County, Texas",""
"    Estimate","9,090"
"    Percent","68.5%"
"Johnson County, Texas",""
"    Estimate","48,903"
"    Percent","74.7%"
"Jones County, Texas",""
"    Estimate","4,755"
"    Percent","80.4%"
"Karnes County, Texas",""
"    Estimate","2,953"
"    Percent","62.4%"
"Kaufman County, Texas",""
"    Estimate","39,818"
"    Percent","78.1%"
"Kendall County, Texas",""
"    Estimate","14,103"
"    Percent","79.5%"
"Kenedy County, Texas",""
"    Estimate","29"
"    Percent","52.7%"
"Kent County, Texas",""
"    Estimate","244"
"    Percent","79.2%"
"Kerr County, Texas",""
"    Estimate","15,863"
"    Percent","70.1%"
"Kimble County, Texas",""
"    Estimate","1,611"
"    Percent","78.9%"
"King County, Texas",""
"    Estimate","66"
"    Percent","59.5%"
"Kinney County, Texas",""
"    Estimate","967"
"    Percent","83.9%"
"Kleberg County, Texas",""
"    Estimate","6,225"
"    Percent","52.5%"
"Knox County, Texas",""
"    Estimate","964"
"    Percent","77.4%"
"Lamar County, Texas",""
"    Estimate","13,226"
"    Percent","66.1%"
"Lamb County, Texas",""
"    Estimate","3,463"
"    Percent","74.0%"
"Lampasas County, Texas",""
"    Estimate","6,724"
"    Percent","80.1%"
"La Salle County, Texas",""
"    Estimate","1,252"
"    Percent","76.0%"
"Lavaca County, Texas",""
"    Estimate","6,640"
"    Percent","78.3%"
"Lee County, Texas",""
"    Estimate","5,434"
"    Percent","77.8%"
"Leon County, Texas",""
"    Estimate","5,162"
"    Percent","76.6%"
"Liberty County, Texas",""
"    Estimate","25,669"
"    Percent","82.3%"
"Limestone County, Texas",""
"    Estimate","6,051"
"    Percent","72.1%"
"Lipscomb County, Texas",""
"    Estimate","845"
"    Percent","82.4%"
"Live Oak County, Texas",""
"    Estimate","3,109"
"    Percent","71.3%"
"Llano County, Texas",""
"    Estimate","8,237"
"    Percent","76.5%"
"Loving County, Texas",""
"    Estimate","3"
"    Percent","11.1%"
"Lubbock County, Texas",""
"    Estimate","70,060"
"    Percent","55.5%"
"Lynn County, Texas",""
"    Estimate","1,616"
"    Percent","77.0%"
"McCulloch County, Texas",""
"    Estimate","2,195"
"    Percent","66.6%"
"McLennan County, Texas",""
"    Estimate","60,155"
"    Percent","61.8%"
"McMullen County, Texas",""
"    Estimate","162"
"    Percent","78.3%"
"Madison County, Texas",""
"    Estimate","3,181"
"    Percent","75.3%"
"Marion County, Texas",""
"    Estimate","3,302"
"    Percent","78.5%"
"Martin County, Texas",""
"    Estimate","1,540"
"    Percent","78.1%"
"Mason County, Texas",""
"    Estimate","1,364"
"    Percent","79.7%"
"Matagorda County, Texas",""
"    Estimate","10,515"
"    Percent","68.1%"
"Maverick County, Texas",""
"    Estimate","12,751"
"    Percent","70.5%"
"Medina County, Texas",""
"    Estimate","14,924"
"    Percent","83.8%"
"Menard County, Texas",""
"    Estimate","760"
"    Percent","80.7%"
"Midland County, Texas",""
"    Estimate","45,749"
"    Percent","67.6%"
"Milam County, Texas",""
"    Estimate","7,805"
"    Percent","76.9%"
"Mills County, Texas",""
"    Estimate","1,444"
"    Percent","80.3%"
"Mitchell County, Texas",""
"    Estimate","2,170"
"    Percent","78.7%"
"Montague County, Texas",""
"    Estimate","6,820"
"    Percent","79.9%"
"Montgomery County, Texas",""
"    Estimate","177,657"
"    Percent","71.8%"
"Moore County, Texas",""
"    Estimate","4,470"
"    Percent","62.5%"
"Morris County, Texas",""
"    Estimate","3,617"
"    Percent","73.9%"
"Motley County, Texas",""
"    Estimate","352"
"    Percent","76.5%"
"Nacogdoches County, Texas",""
"    Estimate","14,993"
"    Percent","59.3%"
"Navarro County, Texas",""
"    Estimate","13,224"
"    Percent","69.4%"
"Newton County, Texas",""
"    Estimate","4,011"
"    Percent","82.9%"
"Nolan County, Texas",""
"    Estimate","4,008"
"    Percent","68.1%"
"Nueces County, Texas",""
"    Estimate","78,272"
"    Percent","59.7%"
"Ochiltree County, Texas",""
"    Estimate","2,676"
"    Percent","72.7%"
"Oldham County, Texas",""
"    Estimate","452"
"    Percent","73.6%"
"Orange County, Texas",""
"    Estimate","24,383"
"    Percent","75.2%"
"Palo Pinto County, Texas",""
"    Estimate","7,978"
"    Percent","71.0%"
"Panola County, Texas",""
"    Estimate","7,111"
"    Percent","79.9%"
"Parker County, Texas",""
"    Estimate","45,567"
"    Percent","80.7%"
"Parmer County, Texas",""
"    Estimate","2,329"
"    Percent","72.1%"
"Pecos County, Texas",""
"    Estimate","3,769"
"    Percent","72.0%"
"Polk County, Texas",""
"    Estimate","15,241"
"    Percent","78.1%"
"Potter County, Texas",""
"    Estimate","24,395"
"    Percent","57.3%"
"Presidio County, Texas",""
"    Estimate","1,870"
"    Percent","77.3%"
"Rains County, Texas",""
"    Estimate","4,010"
"    Percent","82.6%"
"Randall County, Texas",""
"    Estimate","38,556"
"    Percent","67.9%"
"Reagan County, Texas",""
"    Estimate","723"
"    Percent","70.0%"
"Real County, Texas",""
"    Estimate","881"
"    Percent","78.1%"
"Red River County, Texas",""
"    Estimate","3,559"
"    Percent","71.5%"
"Reeves County, Texas",""
"    Estimate","3,113"
"    Percent","73.7%"
"Refugio County, Texas",""
"    Estimate","1,921"
"    Percent","77.0%"
"Roberts County, Texas",""
"    Estimate","275"
"    Percent","85.1%"
"Robertson County, Texas",""
"    Estimate","4,852"
"    Percent","72.4%"
"Rockwall County, Texas",""
"    Estimate","34,034"
"    Percent","82.5%"
"Runnels County, Texas",""
"    Estimate","2,857"
"    Percent","75.0%"
"Rusk County, Texas",""
"    Estimate","14,213"
"    Percent","78.8%"
"Sabine County, Texas",""
"    Estimate","3,983"
"    Percent","85.7%"
"San Augustine County, Texas",""
"    Estimate","2,208"
"    Percent","75.1%"
"San Jacinto County, Texas",""
"    Estimate","9,201"
"    Percent","84.6%"
"San Patricio County, Texas",""
"    Estimate","16,941"
"    Percent","66.9%"
"San Saba County, Texas",""
"    Estimate","1,498"
"    Percent","71.7%"
"Schleicher County, Texas",""
"    Estimate","813"
"    Percent","84.3%"
"Scurry County, Texas",""
"    Estimate","4,514"
"    Percent","76.8%"
"Shackelford County, Texas",""
"    Estimate","1,017"
"    Percent","78.7%"
"Shelby County, Texas",""
"    Estimate","6,932"
"    Percent","74.0%"
"Sherman County, Texas",""
"    Estimate","643"
"    Percent","76.3%"
"Smith County, Texas",""
"    Estimate","57,215"
"    Percent","68.8%"
"Somervell County, Texas",""
"    Estimate","2,972"
"    Percent","80.0%"
"Starr County, Texas",""
"    Estimate","13,320"
"    Percent","69.5%"
"Stephens County, Texas",""
"    Estimate","2,868"
"    Percent","79.2%"
"Sterling County, Texas",""
"    Estimate","310"
"    Percent","77.7%"
"Stonewall County, Texas",""
"    Estimate","434"
"    Percent","84.6%"
"Sutton County, Texas",""
"    Estimate","968"
"    Percent","76.0%"
"Swisher County, Texas",""
"    Estimate","1,583"
"    Percent","66.4%"
"Tarrant County, Texas",""
"    Estimate","463,669"
"    Percent","59.3%"
"Taylor County, Texas",""
"    Estimate","33,257"
"    Percent","60.5%"
"Terrell County, Texas",""
"    Estimate","403"
"    Percent","89.4%"
"Terry County, Texas",""
"    Estimate","2,858"
"    Percent","66.5%"
"Throckmorton County, Texas",""
"    Estimate","501"
"    Percent","68.0%"
"Titus County, Texas",""
"    Estimate","7,876"
"    Percent","70.6%"
"Tom Green County, Texas",""
"    Estimate","30,460"
"    Percent","65.1%"
"Travis County, Texas",""
"    Estimate","304,165"
"    Percent","52.1%"
"Trinity County, Texas",""
"    Estimate","4,824"
"    Percent","79.4%"
"Tyler County, Texas",""
"    Estimate","5,800"
"    Percent","81.2%"
"Upshur County, Texas",""
"    Estimate","12,569"
"    Percent","80.7%"
"Upton County, Texas",""
"    Estimate","1,050"
"    Percent","77.2%"
"Uvalde County, Texas",""
"    Estimate","5,939"
"    Percent","70.6%"
"Val Verde County, Texas",""
"    Estimate","11,608"
"    Percent","69.1%"
"Van Zandt County, Texas",""
"    Estimate","18,482"
"    Percent","81.5%"
"Victoria County, Texas",""
"    Estimate","22,750"
"    Percent","65.3%"
"Walker County, Texas",""
"    Estimate","14,694"
"    Percent","56.5%"
"Waller County, Texas",""
"    Estimate","13,209"
"    Percent","72.0%"
"Ward County, Texas",""
"    Estimate","3,445"
"    Percent","78.5%"
"Washington County, Texas",""
"    Estimate","10,804"
"    Percent","69.8%"
"Webb County, Texas",""
"    Estimate","52,630"
"    Percent","64.7%"
"Wharton County, Texas",""
"    Estimate","11,482"
"    Percent","72.3%"
"Wheeler County, Texas",""
"    Estimate","1,470"
"    Percent","76.2%"
"Wichita County, Texas",""
"    Estimate","30,106"
"    Percent","61.4%"
"Wilbarger County, Texas",""
"    Estimate","3,210"
"    Percent","67.2%"
"Willacy County, Texas",""
"    Estimate","4,254"
"    Percent","74.7%"
"Williamson County, Texas",""
"    Estimate","167,540"
"    Percent","66.4%"
"Wilson County, Texas",""
"    Estimate","15,411"
"    Percent","84.7%"
"Winkler County, Texas",""
"    Estimate","2,375"
"    Percent","86.0%"
"Wise County, Texas",""
"    Estimate","20,458"
"    Percent","81.4%"
"Wood County, Texas",""
"    Estimate","14,965"
"    Percent","80.1%"
"Yoakum County, Texas",""
"    Estimate","1,744"
"    Percent","66.8%"
"Young County, Texas",""
"    Estimate","5,661"
"    Percent","74.1%"
"Zapata County, Texas",""
"    Estimate","3,285"
"    Percent","72.0%"
"Zavala County, Texas",""
"    Estimate","2,258"
"    Percent","69.0%"
"Beaver County, Utah",""
"    Estimate","2,039"
"    Percent","81.0%"
"Box Elder County, Utah",""
"    Estimate","14,857"
"    Percent","76.0%"
"Cache County, Utah",""
"    Estimate","28,288"
"    Percent","63.7%"
"Carbon County, Utah",""
"    Estimate","5,519"
"    Percent","67.9%"
"Daggett County, Utah",""
"    Estimate","237"
"    Percent","82.3%"
"Davis County, Utah",""
"    Estimate","89,654"
"    Percent","77.3%"
"Duchesne County, Utah",""
"    Estimate","5,428"
"    Percent","78.9%"
"Emery County, Utah",""
"    Estimate","2,766"
"    Percent","80.1%"
"Garfield County, Utah",""
"    Estimate","1,436"
"    Percent","70.3%"
"Grand County, Utah",""
"    Estimate","3,200"
"    Percent","70.3%"
"Iron County, Utah",""
"    Estimate","13,763"
"    Percent","68.3%"
"Juab County, Utah",""
"    Estimate","3,237"
"    Percent","83.8%"
"Kane County, Utah",""
"    Estimate","2,779"
"    Percent","80.4%"
"Millard County, Utah",""
"    Estimate","3,562"
"    Percent","81.8%"
"Morgan County, Utah",""
"    Estimate","3,362"
"    Percent","88.8%"
"Piute County, Utah",""
"    Estimate","530"
"    Percent","95.5%"
"Rich County, Utah",""
"    Estimate","782"
"    Percent","84.7%"
"Salt Lake County, Utah",""
"    Estimate","281,875"
"    Percent","66.1%"
"San Juan County, Utah",""
"    Estimate","3,684"
"    Percent","80.9%"
"Sanpete County, Utah",""
"    Estimate","6,607"
"    Percent","74.3%"
"Sevier County, Utah",""
"    Estimate","5,838"
"    Percent","77.8%"
"Summit County, Utah",""
"    Estimate","12,621"
"    Percent","80.2%"
"Tooele County, Utah",""
"    Estimate","19,562"
"    Percent","81.8%"
"Uintah County, Utah",""
"    Estimate","8,928"
"    Percent","73.5%"
"Utah County, Utah",""
"    Estimate","138,629"
"    Percent","68.3%"
"Wasatch County, Utah",""
"    Estimate","10,338"
"    Percent","80.3%"
"Washington County, Utah",""
"    Estimate","49,994"
"    Percent","71.6%"
"Wayne County, Utah",""
"    Estimate","917"
"    Percent","79.3%"
"Weber County, Utah",""
"    Estimate","69,712"
"    Percent","74.1%"
"Addison County, Vermont",""
"    Estimate","11,861"
"    Percent","79.3%"
"Bennington County, Vermont",""
"    Estimate","11,042"
"    Percent","73.7%"
"Caledonia County, Vermont",""
"    Estimate","10,368"
"    Percent","79.2%"
"Chittenden County, Vermont",""
"    Estimate","45,679"
"    Percent","63.9%"
"Essex County, Vermont",""
"    Estimate","2,327"
"    Percent","82.4%"
"Franklin County, Vermont",""
"    Estimate","15,449"
"    Percent","77.4%"
"Grand Isle County, Vermont",""
"    Estimate","2,822"
"    Percent","89.9%"
"Lamoille County, Vermont",""
"    Estimate","8,687"
"    Percent","72.9%"
"Orange County, Vermont",""
"    Estimate","10,599"
"    Percent","83.2%"
"Orleans County, Vermont",""
"    Estimate","9,622"
"    Percent","79.7%"
"Rutland County, Vermont",""
"    Estimate","19,017"
"    Percent","75.1%"
"Washington County, Vermont",""
"    Estimate","19,047"
"    Percent","73.7%"
"Windham County, Vermont",""
"    Estimate","14,629"
"    Percent","73.9%"
"Windsor County, Vermont",""
"    Estimate","18,930"
"    Percent","74.8%"
"Accomack County, Virginia",""
"    Estimate","10,319"
"    Percent","71.4%"
"Albemarle County, Virginia",""
"    Estimate","30,269"
"    Percent","65.9%"
"Alleghany County, Virginia",""
"    Estimate","5,252"
"    Percent","82.3%"
"Amelia County, Virginia",""
"    Estimate","4,469"
"    Percent","82.5%"
"Amherst County, Virginia",""
"    Estimate","10,262"
"    Percent","80.8%"
"Appomattox County, Virginia",""
"    Estimate","5,031"
"    Percent","75.8%"
"Arlington County, Virginia",""
"    Estimate","46,221"
"    Percent","41.3%"
"Augusta County, Virginia",""
"    Estimate","24,924"
"    Percent","80.2%"
"Bath County, Virginia",""
"    Estimate","1,299"
"    Percent","71.3%"
"Bedford County, Virginia",""
"    Estimate","28,045"
"    Percent","84.7%"
"Bland County, Virginia",""
"    Estimate","2,055"
"    Percent","86.5%"
"Botetourt County, Virginia",""
"    Estimate","11,307"
"    Percent","85.5%"
"Brunswick County, Virginia",""
"    Estimate","4,822"
"    Percent","74.4%"
"Buchanan County, Virginia",""
"    Estimate","6,255"
"    Percent","83.1%"
"Buckingham County, Virginia",""
"    Estimate","4,851"
"    Percent","77.3%"
"Campbell County, Virginia",""
"    Estimate","16,668"
"    Percent","74.9%"
"Caroline County, Virginia",""
"    Estimate","9,872"
"    Percent","82.3%"
"Carroll County, Virginia",""
"    Estimate","9,697"
"    Percent","77.1%"
"Charles City County, Virginia",""
"    Estimate","2,511"
"    Percent","86.3%"
"Charlotte County, Virginia",""
"    Estimate","3,515"
"    Percent","74.7%"
"Chesterfield County, Virginia",""
"    Estimate","107,538"
"    Percent","76.7%"
"Clarke County, Virginia",""
"    Estimate","4,799"
"    Percent","81.5%"
"Craig County, Virginia",""
"    Estimate","1,453"
"    Percent","83.7%"
"Culpeper County, Virginia",""
"    Estimate","14,201"
"    Percent","75.0%"
"Cumberland County, Virginia",""
"    Estimate","3,045"
"    Percent","75.9%"
"Dickenson County, Virginia",""
"    Estimate","4,515"
"    Percent","76.1%"
"Dinwiddie County, Virginia",""
"    Estimate","8,487"
"    Percent","79.6%"
"Essex County, Virginia",""
"    Estimate","3,190"
"    Percent","71.7%"
"Fairfax County, Virginia",""
"    Estimate","284,195"
"    Percent","68.6%"
"Fauquier County, Virginia",""
"    Estimate","21,066"
"    Percent","78.8%"
"Floyd County, Virginia",""
"    Estimate","5,560"
"    Percent","83.9%"
"Fluvanna County, Virginia",""
"    Estimate","9,161"
"    Percent","88.7%"
"Franklin County, Virginia",""
"    Estimate","18,048"
"    Percent","78.5%"
"Frederick County, Virginia",""
"    Estimate","28,068"
"    Percent","79.3%"
"Giles County, Virginia",""
"    Estimate","5,285"
"    Percent","78.9%"
"Gloucester County, Virginia",""
"    Estimate","12,278"
"    Percent","80.4%"
"Goochland County, Virginia",""
"    Estimate","8,784"
"    Percent","84.9%"
"Grayson County, Virginia",""
"    Estimate","5,097"
"    Percent","80.4%"
"Greene County, Virginia",""
"    Estimate","6,700"
"    Percent","83.4%"
"Greensville County, Virginia",""
"    Estimate","2,122"
"    Percent","66.3%"
"Halifax County, Virginia",""
"    Estimate","10,155"
"    Percent","74.6%"
"Hanover County, Virginia",""
"    Estimate","35,055"
"    Percent","82.1%"
"Henrico County, Virginia",""
"    Estimate","88,571"
"    Percent","64.5%"
"Henry County, Virginia",""
"    Estimate","15,817"
"    Percent","75.2%"
"Highland County, Virginia",""
"    Estimate","892"
"    Percent","88.9%"
"Isle of Wight County, Virginia",""
"    Estimate","12,626"
"    Percent","80.1%"
"James City County, Virginia",""
"    Estimate","24,543"
"    Percent","76.7%"
"King and Queen County, Virginia",""
"    Estimate","2,274"
"    Percent","75.7%"
"King George County, Virginia",""
"    Estimate","7,720"
"    Percent","76.2%"
"King William County, Virginia",""
"    Estimate","6,534"
"    Percent","88.9%"
"Lancaster County, Virginia",""
"    Estimate","4,645"
"    Percent","81.5%"
"Lee County, Virginia",""
"    Estimate","6,226"
"    Percent","73.0%"
"Loudoun County, Virginia",""
"    Estimate","111,442"
"    Percent","77.9%"
"Louisa County, Virginia",""
"    Estimate","12,796"
"    Percent","82.2%"
"Lunenburg County, Virginia",""
"    Estimate","3,409"
"    Percent","71.5%"
"Madison County, Virginia",""
"    Estimate","4,265"
"    Percent","77.8%"
"Mathews County, Virginia",""
"    Estimate","3,351"
"    Percent","84.0%"
"Mecklenburg County, Virginia",""
"    Estimate","9,269"
"    Percent","68.3%"
"Middlesex County, Virginia",""
"    Estimate","4,172"
"    Percent","87.4%"
"Montgomery County, Virginia",""
"    Estimate","20,438"
"    Percent","55.3%"
"Nelson County, Virginia",""
"    Estimate","5,070"
"    Percent","79.7%"
"New Kent County, Virginia",""
"    Estimate","8,582"
"    Percent","92.6%"
"Northampton County, Virginia",""
"    Estimate","3,596"
"    Percent","66.1%"
"Northumberland County, Virginia",""
"    Estimate","4,854"
"    Percent","86.1%"
"Nottoway County, Virginia",""
"    Estimate","3,737"
"    Percent","66.6%"
"Orange County, Virginia",""
"    Estimate","11,688"
"    Percent","78.7%"
"Page County, Virginia",""
"    Estimate","7,112"
"    Percent","71.8%"
"Patrick County, Virginia",""
"    Estimate","5,985"
"    Percent","76.9%"
"Pittsylvania County, Virginia",""
"    Estimate","19,682"
"    Percent","78.7%"
"Powhatan County, Virginia",""
"    Estimate","10,559"
"    Percent","93.2%"
"Prince Edward County, Virginia",""
"    Estimate","4,434"
"    Percent","58.0%"
"Prince George County, Virginia",""
"    Estimate","9,605"
"    Percent","74.3%"
"Prince William County, Virginia",""
"    Estimate","116,435"
"    Percent","74.3%"
"Pulaski County, Virginia",""
"    Estimate","10,613"
"    Percent","73.4%"
"Rappahannock County, Virginia",""
"    Estimate","2,191"
"    Percent","73.4%"
"Richmond County, Virginia",""
"    Estimate","2,372"
"    Percent","74.7%"
"Roanoke County, Virginia",""
"    Estimate","30,066"
"    Percent","75.7%"
"Rockbridge County, Virginia",""
"    Estimate","7,572"
"    Percent","79.3%"
"Rockingham County, Virginia",""
"    Estimate","24,604"
"    Percent","75.3%"
"Russell County, Virginia",""
"    Estimate","8,141"
"    Percent","76.3%"
"Scott County, Virginia",""
"    Estimate","7,029"
"    Percent","77.0%"
"Shenandoah County, Virginia",""
"    Estimate","13,174"
"    Percent","73.3%"
"Smyth County, Virginia",""
"    Estimate","8,986"
"    Percent","71.0%"
"Southampton County, Virginia",""
"    Estimate","5,227"
"    Percent","76.1%"
"Spotsylvania County, Virginia",""
"    Estimate","42,045"
"    Percent","80.1%"
"Stafford County, Virginia",""
"    Estimate","42,121"
"    Percent","80.5%"
"Surry County, Virginia",""
"    Estimate","2,251"
"    Percent","79.5%"
"Sussex County, Virginia",""
"    Estimate","2,640"
"    Percent","69.7%"
"Tazewell County, Virginia",""
"    Estimate","12,123"
"    Percent","74.4%"
"Warren County, Virginia",""
"    Estimate","11,635"
"    Percent","75.9%"
"Washington County, Virginia",""
"    Estimate","16,756"
"    Percent","75.8%"
"Westmoreland County, Virginia",""
"    Estimate","6,524"
"    Percent","80.1%"
"Wise County, Virginia",""
"    Estimate","10,317"
"    Percent","74.2%"
"Wythe County, Virginia",""
"    Estimate","9,646"
"    Percent","77.0%"
"York County, Virginia",""
