County,Total civilian noninstitutionalized population
    With a disability,
        Estimate,"4,663"
    Percent with a disability,
        Estimate,15.90%
"Brunswick County, North Carolina",
    Total,
        Estimate,"151,598"
    With a disability,
        Estimate,"23,687"
    Percent with a disability,
        Estimate,15.60%
"Buncombe County, North Carolina",
    Total,
        Estimate,"270,658"
    With a disability,
        Estimate,"39,097"
    Percent with a disability,
        Estimate,14.40%
"Burke County, North Carolina",
    Total,
        Estimate,"85,624"
    With a disability,
        Estimate,"16,166"
    Percent with a disability,
        Estimate,18.90%
"Cabarrus County, North Carolina",
    Total,
        Estimate,"234,403"
    With a disability,
        Estimate,"26,234"
    Percent with a disability,
        Estimate,11.20%
"Caldwell County, North Carolina",
    Total,
        Estimate,"79,793"
    With a disability,
        Estimate,"14,665"
    Percent with a disability,
        Estimate,18.40%
"Camden County, North Carolina",
    Total,
        Estimate,"10,818"
    With a disability,
        Estimate,"1,399"
    Percent with a disability,
        Estimate,12.90%
"Carteret County, North Carolina",
    Total,
        Estimate,"67,663"
    With a disability,
        Estimate,"11,823"
    Percent with a disability,
        Estimate,17.50%
"Caswell County, North Carolina",
    Total,
        Estimate,"21,269"
    With a disability,
        Estimate,"4,034"
    Percent with a disability,
        Estimate,19.00%
"Catawba County, North Carolina",
    Total,
        Estimate,"162,089"
    With a disability,
        Estimate,"21,972"
    Percent with a disability,
        Estimate,13.60%
"Chatham County, North Carolina",
    Total,
        Estimate,"79,421"
    With a disability,
        Estimate,"8,975"
    Percent with a disability,
        Estimate,11.30%
"Cherokee County, North Carolina",
    Total,
        Estimate,"29,279"
    With a disability,
        Estimate,"5,283"
    Percent with a disability,
        Estimate,18.00%
"Chowan County, North Carolina",
    Total,
        Estimate,"13,615"
    With a disability,
        Estimate,"2,207"
    Percent with a disability,
        Estimate,16.20%
"Clay County, North Carolina",
    Total,
        Estimate,"11,502"
    With a disability,
        Estimate,"1,975"
    Percent with a disability,
        Estimate,17.20%
"Cleveland County, North Carolina",
    Total,
        Estimate,"100,301"
    With a disability,
        Estimate,"16,808"
    Percent with a disability,
        Estimate,16.80%
"Columbus County, North Carolina",
    Total,
        Estimate,"47,979"
    With a disability,
        Estimate,"8,375"
    Percent with a disability,
        Estimate,17.50%
"Craven County, North Carolina",
    Total,
        Estimate,"95,704"
    With a disability,
        Estimate,"15,280"
    Percent with a disability,
        Estimate,16.00%
"Cumberland County, North Carolina",
    Total,
        Estimate,"302,412"
    With a disability,
        Estimate,"50,665"
    Percent with a disability,
        Estimate,16.80%
"Currituck County, North Carolina",
    Total,
        Estimate,"29,967"
    With a disability,
        Estimate,"3,740"
    Percent with a disability,
        Estimate,12.50%
"Dare County, North Carolina",
    Total,
        Estimate,"37,628"
    With a disability,
        Estimate,"4,065"
    Percent with a disability,
        Estimate,10.80%
"Davidson County, North Carolina",
    Total,
        Estimate,"171,362"
    With a disability,
        Estimate,"26,466"
    Percent with a disability,
        Estimate,15.40%
"Davie County, North Carolina",
    Total,
        Estimate,"43,733"
    With a disability,
        Estimate,"7,662"
    Percent with a disability,
        Estimate,17.50%
"Duplin County, North Carolina",
    Total,
        Estimate,"48,914"
    With a disability,
        Estimate,"8,434"
    Percent with a disability,
        Estimate,17.20%
"Durham County, North Carolina",
    Total,
        Estimate,"328,093"
    With a disability,
        Estimate,"34,402"
    Percent with a disability,
        Estimate,10.50%
"Edgecombe County, North Carolina",
    Total,
        Estimate,"48,122"
    With a disability,
        Estimate,"8,550"
    Percent with a disability,
        Estimate,17.80%
"Forsyth County, North Carolina",
    Total,
        Estimate,"386,919"
    With a disability,
        Estimate,"49,248"
    Percent with a disability,
        Estimate,12.70%
"Franklin County, North Carolina",
    Total,
        Estimate,"73,363"
    With a disability,
        Estimate,"11,737"
    Percent with a disability,
        Estimate,16.00%
"Gaston County, North Carolina",
    Total,
        Estimate,"232,768"
    With a disability,
        Estimate,"33,847"
    Percent with a disability,
        Estimate,14.50%
"Gates County, North Carolina",
    Total,
        Estimate,"10,274"
    With a disability,
        Estimate,"1,822"
    Percent with a disability,
        Estimate,17.70%
"Graham County, North Carolina",
    Total,
        Estimate,"7,929"
    With a disability,
        Estimate,"1,470"
    Percent with a disability,
        Estimate,18.50%
"Granville County, North Carolina",
    Total,
        Estimate,"56,981"
    With a disability,
        Estimate,"9,620"
    Percent with a disability,
        Estimate,16.90%
"Greene County, North Carolina",
    Total,
        Estimate,"18,029"
    With a disability,
        Estimate,"3,768"
    Percent with a disability,
        Estimate,20.90%
"Guilford County, North Carolina",
    Total,
        Estimate,"543,718"
    With a disability,
        Estimate,"67,100"
    Percent with a disability,
        Estimate,12.30%
"Halifax County, North Carolina",
    Total,
        Estimate,"46,573"
    With a disability,
        Estimate,"10,058"
    Percent with a disability,
        Estimate,21.60%
"Harnett County, North Carolina",
    Total,
        Estimate,"133,025"
    With a disability,
        Estimate,"21,270"
    Percent with a disability,
        Estimate,16.00%
"Haywood County, North Carolina",
    Total,
        Estimate,"62,109"
    With a disability,
        Estimate,"10,723"
    Percent with a disability,
        Estimate,17.30%
"Henderson County, North Carolina",
    Total,
        Estimate,"117,443"
    With a disability,
        Estimate,"17,717"
    Percent with a disability,
        Estimate,15.10%
"Hertford County, North Carolina",
    Total,
        Estimate,"19,205"
    With a disability,
        Estimate,"3,850"
    Percent with a disability,
        Estimate,20.00%
"Hoke County, North Carolina",
    Total,
        Estimate,"50,252"
    With a disability,
        Estimate,"8,749"
    Percent with a disability,
        Estimate,17.40%
"Hyde County, North Carolina",
    Total,
        Estimate,"3,909"
    With a disability,
        Estimate,755
    Percent with a disability,
        Estimate,19.30%
"Iredell County, North Carolina",
    Total,
        Estimate,"195,135"
    With a disability,
        Estimate,"23,918"
    Percent with a disability,
        Estimate,12.30%
"Jackson County, North Carolina",
    Total,
        Estimate,"43,532"
    With a disability,
        Estimate,"6,098"
    Percent with a disability,
        Estimate,14.00%
"Johnston County, North Carolina",
    Total,
        Estimate,"232,500"
    With a disability,
        Estimate,"30,140"
    Percent with a disability,
        Estimate,13.00%
"Jones County, North Carolina",
    Total,
        Estimate,"9,152"
    With a disability,
        Estimate,"1,895"
    Percent with a disability,
        Estimate,20.70%
"Lee County, North Carolina",
    Total,
        Estimate,"64,823"
    With a disability,
        Estimate,"10,661"
    Percent with a disability,
        Estimate,16.40%
"Lenoir County, North Carolina",
    Total,
        Estimate,"54,034"
    With a disability,
        Estimate,"12,725"
    Percent with a disability,
        Estimate,23.50%
"Lincoln County, North Carolina",
    Total,
        Estimate,"92,127"
    With a disability,
        Estimate,"13,734"
    Percent with a disability,
        Estimate,14.90%
"McDowell County, North Carolina",
    Total,
        Estimate,"43,645"
    With a disability,
        Estimate,"7,747"
    Percent with a disability,
        Estimate,17.80%
"Macon County, North Carolina",
    Total,
        Estimate,"37,722"
    With a disability,
        Estimate,"5,802"
    Percent with a disability,
        Estimate,15.40%
"Madison County, North Carolina",
    Total,
        Estimate,"21,625"
    With a disability,
        Estimate,"3,915"
    Percent with a disability,
        Estimate,18.10%
"Martin County, North Carolina",
    Total,
        Estimate,"21,496"
    With a disability,
        Estimate,"4,238"
    Percent with a disability,
        Estimate,19.70%
"Mecklenburg County, North Carolina",
    Total,
        Estimate,"1,148,645"
    With a disability,
        Estimate,"102,543"
    Percent with a disability,
        Estimate,8.90%
"Mitchell County, North Carolina",
    Total,
        Estimate,"14,914"
    With a disability,
        Estimate,"2,826"
    Percent with a disability,
        Estimate,18.90%
"Montgomery County, North Carolina",
    Total,
        Estimate,"25,352"
    With a disability,
        Estimate,"4,982"
    Percent with a disability,
        Estimate,19.70%
"Moore County, North Carolina",
    Total,
        Estimate,"100,110"
    With a disability,
        Estimate,"14,969"
    Percent with a disability,
        Estimate,15.00%
"Nash County, North Carolina",
    Total,
        Estimate,"95,171"
    With a disability,
        Estimate,"13,738"
    Percent with a disability,
        Estimate,14.40%
"New Hanover County, North Carolina",
    Total,
        Estimate,"233,153"
    With a disability,
        Estimate,"28,291"
    Percent with a disability,
        Estimate,12.10%
"Northampton County, North Carolina",
    Total,
        Estimate,"16,470"
    With a disability,
        Estimate,"3,804"
    Percent with a disability,
        Estimate,23.10%
"Onslow County, North Carolina",
    Total,
        Estimate,"167,775"
    With a disability,
        Estimate,"28,608"
    Percent with a disability,
        Estimate,17.10%
"Orange County, North Carolina",
    Total,
        Estimate,"148,842"
    With a disability,
        Estimate,"13,479"
    Percent with a disability,
        Estimate,9.10%
"Pamlico County, North Carolina",
    Total,
        Estimate,"11,628"
    With a disability,
        Estimate,"2,465"
    Percent with a disability,
        Estimate,21.20%
"Pasquotank County, North Carolina",
    Total,
        Estimate,"39,304"
    With a disability,
        Estimate,"5,843"
    Percent with a disability,
        Estimate,14.90%
"Pender County, North Carolina",
    Total,
        Estimate,"63,795"
    With a disability,
        Estimate,"9,759"
    Percent with a disability,
        Estimate,15.30%
"Perquimans County, North Carolina",
    Total,
        Estimate,"13,211"
    With a disability,
        Estimate,"2,727"
    Percent with a disability,
        Estimate,20.60%
"Person County, North Carolina",
    Total,
        Estimate,"39,262"
    With a disability,
        Estimate,"7,413"
    Percent with a disability,
        Estimate,18.90%
"Pitt County, North Carolina",
    Total,
        Estimate,"175,326"
    With a disability,
        Estimate,"26,055"
    Percent with a disability,
        Estimate,14.90%
"Polk County, North Carolina",
    Total,
        Estimate,"19,582"
    With a disability,
        Estimate,"3,358"
    Percent with a disability,
        Estimate,17.10%
"Randolph County, North Carolina",
    Total,
        Estimate,"145,194"
    With a disability,
        Estimate,"22,991"
    Percent with a disability,
        Estimate,15.80%
"Richmond County, North Carolina",
    Total,
        Estimate,"41,370"
    With a disability,
        Estimate,"7,082"
    Percent with a disability,
        Estimate,17.10%
"Robeson County, North Carolina",
    Total,
        Estimate,"115,143"
    With a disability,
        Estimate,"21,200"
    Percent with a disability,
        Estimate,18.40%
"Rockingham County, North Carolina",
    Total,
        Estimate,"91,241"
    With a disability,
        Estimate,"16,448"
    Percent with a disability,
        Estimate,18.00%
"Rowan County, North Carolina",
    Total,
        Estimate,"147,555"
    With a disability,
        Estimate,"22,668"
    Percent with a disability,
        Estimate,15.40%
"Rutherford County, North Carolina",
    Total,
        Estimate,"63,916"
    With a disability,
        Estimate,"13,525"
    Percent with a disability,
        Estimate,21.20%
"Sampson County, North Carolina",
    Total,
        Estimate,"58,429"
    With a disability,
        Estimate,"9,176"
    Percent with a disability,
        Estimate,15.70%
"Scotland County, North Carolina",
    Total,
        Estimate,"31,725"
    With a disability,
        Estimate,"5,838"
    Percent with a disability,
        Estimate,18.40%
"Stanly County, North Carolina",
    Total,
        Estimate,"63,337"
    With a disability,
        Estimate,"11,111"
    Percent with a disability,
        Estimate,17.50%
"Stokes County, North Carolina",
    Total,
        Estimate,"44,635"
    With a disability,
        Estimate,"8,953"
    Percent with a disability,
        Estimate,20.10%
"Surry County, North Carolina",
    Total,
        Estimate,"70,585"
    With a disability,
        Estimate,"13,449"
    Percent with a disability,
        Estimate,19.10%
"Swain County, North Carolina",
    Total,
        Estimate,"13,776"
    With a disability,
        Estimate,"2,160"
    Percent with a disability,
        Estimate,15.70%
"Transylvania County, North Carolina",
    Total,
        Estimate,"33,338"
    With a disability,
        Estimate,"5,367"
    Percent with a disability,
        Estimate,16.10%
"Tyrrell County, North Carolina",
    Total,
        Estimate,"3,004"
    With a disability,
        Estimate,697
    Percent with a disability,
        Estimate,23.20%
"Union County, North Carolina",
    Total,
        Estimate,"249,881"
    With a disability,
        Estimate,"24,046"
    Percent with a disability,
        Estimate,9.60%
"Vance County, North Carolina",
    Total,
        Estimate,"41,951"
    With a disability,
        Estimate,"7,836"
    Percent with a disability,
        Estimate,18.70%
"Wake County, North Carolina",
    Total,
        Estimate,"1,171,095"
    With a disability,
        Estimate,"106,828"
    Percent with a disability,
        Estimate,9.10%
"Warren County, North Carolina",
    Total,
        Estimate,"18,157"
    With a disability,
        Estimate,"4,031"
    Percent with a disability,
        Estimate,22.20%
"Washington County, North Carolina",
    Total,
        Estimate,"10,631"
    With a disability,
        Estimate,"2,819"
    Percent with a disability,
        Estimate,26.50%
"Watauga County, North Carolina",
    Total,
        Estimate,"54,888"
    With a disability,
        Estimate,"6,675"
    Percent with a disability,
        Estimate,12.20%
"Wayne County, North Carolina",
    Total,
        Estimate,"113,618"
    With a disability,
        Estimate,"17,579"
    Percent with a disability,
        Estimate,15.50%
"Wilkes County, North Carolina",
    Total,
        Estimate,"64,969"
    With a disability,
        Estimate,"12,438"
    Percent with a disability,
        Estimate,19.10%
"Wilson County, North Carolina",
    Total,
        Estimate,"78,268"
    With a disability,
        Estimate,"11,714"
    Percent with a disability,
        Estimate,15.00%
"Yadkin County, North Carolina",
    Total,
        Estimate,"37,140"
    With a disability,
        Estimate,"6,428"
    Percent with a disability,
        Estimate,17.30%
"Yancey County, North Carolina",
    Total,
        Estimate,"18,687"
    With a disability,
        Estimate,"3,523"
    Percent with a disability,
        Estimate,18.90%
"Adams County, North Dakota",
    Total,
        Estimate,"2,083"
    With a disability,
        Estimate,317
    Percent with a disability,
        Estimate,15.20%
"Barnes County, North Dakota",
    Total,
        Estimate,"10,521"
    With a disability,
        Estimate,"1,552"
    Percent with a disability,
        Estimate,14.80%
"Benson County, North Dakota",
    Total,
        Estimate,"5,787"
    With a disability,
        Estimate,757
    Percent with a disability,
        Estimate,13.10%
"Billings County, North Dakota",
    Total,
        Estimate,"1,024"
    With a disability,
        Estimate,85
    Percent with a disability,
        Estimate,8.30%
"Bottineau County, North Dakota",
    Total,
        Estimate,"6,245"
    With a disability,
        Estimate,741
    Percent with a disability,
        Estimate,11.90%
"Bowman County, North Dakota",
    Total,
        Estimate,"2,850"
    With a disability,
        Estimate,316
    Percent with a disability,
        Estimate,11.10%
"Burke County, North Dakota",
    Total,
        Estimate,"2,154"
    With a disability,
        Estimate,329
    Percent with a disability,
        Estimate,15.30%
"Burleigh County, North Dakota",
    Total,
        Estimate,"98,326"
    With a disability,
        Estimate,"11,797"
    Percent with a disability,
        Estimate,12.00%
"Cass County, North Dakota",
    Total,
        Estimate,"191,156"
    With a disability,
        Estimate,"21,362"
    Percent with a disability,
        Estimate,11.20%
"Cavalier County, North Dakota",
    Total,
        Estimate,"3,560"
    With a disability,
        Estimate,478
    Percent with a disability,
        Estimate,13.40%
"Dickey County, North Dakota",
    Total,
        Estimate,"4,822"
    With a disability,
        Estimate,618
    Percent with a disability,
        Estimate,12.80%
"Divide County, North Dakota",
    Total,
        Estimate,"2,097"
    With a disability,
        Estimate,279
    Percent with a disability,
        Estimate,13.30%
"Dunn County, North Dakota",
    Total,
        Estimate,"3,974"
    With a disability,
        Estimate,485
    Percent with a disability,
        Estimate,12.20%
"Eddy County, North Dakota",
    Total,
        Estimate,"2,237"
    With a disability,
        Estimate,380
    Percent with a disability,
        Estimate,17.00%
"Emmons County, North Dakota",
    Total,
        Estimate,"3,175"
    With a disability,
        Estimate,404
    Percent with a disability,
        Estimate,12.70%
"Foster County, North Dakota",
    Total,
        Estimate,"3,276"
    With a disability,
        Estimate,357
    Percent with a disability,
        Estimate,10.90%
"Golden Valley County, North Dakota",
    Total,
        Estimate,"1,640"
    With a disability,
        Estimate,321
    Percent with a disability,
        Estimate,19.60%
"Grand Forks County, North Dakota",
    Total,
        Estimate,"70,789"
    With a disability,
        Estimate,"6,998"
    Percent with a disability,
        Estimate,9.90%
"Grant County, North Dakota",
    Total,
        Estimate,"2,225"
    With a disability,
        Estimate,317
    Percent with a disability,
        Estimate,14.20%
"Griggs County, North Dakota",
    Total,
        Estimate,"2,164"
    With a disability,
        Estimate,329
    Percent with a disability,
        Estimate,15.20%
"Hettinger County, North Dakota",
    Total,
        Estimate,"2,298"
    With a disability,
        Estimate,409
    Percent with a disability,
        Estimate,17.80%
"Kidder County, North Dakota",
    Total,
        Estimate,"2,377"
    With a disability,
        Estimate,361
    Percent with a disability,
        Estimate,15.20%
"LaMoure County, North Dakota",
    Total,
        Estimate,"4,052"
    With a disability,
        Estimate,474
    Percent with a disability,
        Estimate,11.70%
"Logan County, North Dakota",
    Total,
        Estimate,"1,754"
    With a disability,
        Estimate,212
    Percent with a disability,
        Estimate,12.10%
"McHenry County, North Dakota",
    Total,
        Estimate,"5,141"
    With a disability,
        Estimate,629
    Percent with a disability,
        Estimate,12.20%
"McIntosh County, North Dakota",
    Total,
        Estimate,"2,387"
    With a disability,
        Estimate,322
    Percent with a disability,
        Estimate,13.50%
"McKenzie County, North Dakota",
    Total,
        Estimate,"14,220"
    With a disability,
        Estimate,"1,266"
    Percent with a disability,
        Estimate,8.90%
"McLean County, North Dakota",
    Total,
        Estimate,"9,656"
    With a disability,
        Estimate,"1,175"
    Percent with a disability,
        Estimate,12.20%
"Mercer County, North Dakota",
    Total,
        Estimate,"8,163"
    With a disability,
        Estimate,944
    Percent with a disability,
        Estimate,11.60%
"Morton County, North Dakota",
    Total,
        Estimate,"33,098"
    With a disability,
        Estimate,"3,233"
    Percent with a disability,
        Estimate,9.80%
"Mountrail County, North Dakota",
    Total,
        Estimate,"9,419"
    With a disability,
        Estimate,"1,101"
    Percent with a disability,
        Estimate,11.70%
"Nelson County, North Dakota",
    Total,
        Estimate,"2,899"
    With a disability,
        Estimate,505
    Percent with a disability,
        Estimate,17.40%
"Oliver County, North Dakota",
    Total,
        Estimate,"1,835"
    With a disability,
        Estimate,174
    Percent with a disability,
        Estimate,9.50%
"Pembina County, North Dakota",
    Total,
        Estimate,"6,549"
    With a disability,
        Estimate,855
    Percent with a disability,
        Estimate,13.10%
"Pierce County, North Dakota",
    Total,
        Estimate,"3,763"
    With a disability,
        Estimate,337
    Percent with a disability,
        Estimate,9.00%
"Ramsey County, North Dakota",
    Total,
        Estimate,"11,135"
    With a disability,
        Estimate,"1,859"
    Percent with a disability,
        Estimate,16.70%
"Ransom County, North Dakota",
    Total,
        Estimate,"5,417"
    With a disability,
        Estimate,596
    Percent with a disability,
        Estimate,11.00%
"Renville County, North Dakota",
    Total,
        Estimate,"2,183"
    With a disability,
        Estimate,235
    Percent with a disability,
        Estimate,10.80%
"Richland County, North Dakota",
    Total,
        Estimate,"16,418"
    With a disability,
        Estimate,"2,078"
    Percent with a disability,
        Estimate,12.70%
"Rolette County, North Dakota",
    Total,
        Estimate,"11,838"
    With a disability,
        Estimate,"2,104"
    Percent with a disability,
        Estimate,17.80%
"Sargent County, North Dakota",
    Total,
        Estimate,"3,744"
    With a disability,
        Estimate,468
    Percent with a disability,
        Estimate,12.50%
"Sheridan County, North Dakota",
    Total,
        Estimate,"1,292"
    With a disability,
        Estimate,137
    Percent with a disability,
        Estimate,10.60%
"Sioux County, North Dakota",
    Total,
        Estimate,"3,709"
    With a disability,
        Estimate,513
    Percent with a disability,
        Estimate,13.80%
"Slope County, North Dakota",
    Total,
        Estimate,766
    With a disability,
        Estimate,117
    Percent with a disability,
        Estimate,15.30%
"Stark County, North Dakota",
    Total,
        Estimate,"32,975"
    With a disability,
        Estimate,"3,799"
    Percent with a disability,
        Estimate,11.50%
"Steele County, North Dakota",
    Total,
        Estimate,"1,804"
    With a disability,
        Estimate,202
    Percent with a disability,
        Estimate,11.20%
"Stutsman County, North Dakota",
    Total,
        Estimate,"20,661"
    With a disability,
        Estimate,"3,526"
    Percent with a disability,
        Estimate,17.10%
"Towner County, North Dakota",
    Total,
        Estimate,"2,047"
    With a disability,
        Estimate,313
    Percent with a disability,
        Estimate,15.30%
"Traill County, North Dakota",
    Total,
        Estimate,"7,752"
    With a disability,
        Estimate,777
    Percent with a disability,
        Estimate,10.00%
"Walsh County, North Dakota",
    Total,
        Estimate,"10,144"
    With a disability,
        Estimate,"1,433"
    Percent with a disability,
        Estimate,14.10%
"Ward County, North Dakota",
    Total,
        Estimate,"64,033"
    With a disability,
        Estimate,"9,130"
    Percent with a disability,
        Estimate,14.30%
"Wells County, North Dakota",
    Total,
        Estimate,"3,804"
    With a disability,
        Estimate,453
    Percent with a disability,
        Estimate,11.90%
"Williams County, North Dakota",
    Total,
        Estimate,"39,242"
    With a disability,
        Estimate,"4,348"
    Percent with a disability,
        Estimate,11.10%
"Adams County, Ohio",
    Total,
        Estimate,"27,323"
    With a disability,
        Estimate,"5,952"
    Percent with a disability,
        Estimate,21.80%
"Allen County, Ohio",
    Total,
        Estimate,"99,176"
    With a disability,
        Estimate,"16,081"
    Percent with a disability,
        Estimate,16.20%
"Ashland County, Ohio",
    Total,
        Estimate,"51,603"
    With a disability,
        Estimate,"7,426"
    Percent with a disability,
        Estimate,14.40%
"Ashtabula County, Ohio",
    Total,
        Estimate,"94,107"
    With a disability,
        Estimate,"16,145"
    Percent with a disability,
        Estimate,17.20%
"Athens County, Ohio",
    Total,
        Estimate,"61,189"
    With a disability,
        Estimate,"10,959"
    Percent with a disability,
        Estimate,17.90%
"Auglaize County, Ohio",
    Total,
        Estimate,"45,627"
    With a disability,
        Estimate,"6,358"
    Percent with a disability,
        Estimate,13.90%
"Belmont County, Ohio",
    Total,
        Estimate,"62,045"
    With a disability,
        Estimate,"10,360"
    Percent with a disability,
        Estimate,16.70%
"Brown County, Ohio",
    Total,
        Estimate,"43,339"
    With a disability,
        Estimate,"7,765"
    Percent with a disability,
        Estimate,17.90%
"Butler County, Ohio",
    Total,
        Estimate,"388,892"
    With a disability,
        Estimate,"48,658"
    Percent with a disability,
        Estimate,12.50%
"Carroll County, Ohio",
    Total,
        Estimate,"26,434"
    With a disability,
        Estimate,"4,954"
    Percent with a disability,
        Estimate,18.70%
"Champaign County, Ohio",
    Total,
        Estimate,"38,368"
    With a disability,
        Estimate,"5,418"
    Percent with a disability,
        Estimate,14.10%
"Clark County, Ohio",
    Total,
        Estimate,"133,446"
    With a disability,
        Estimate,"22,627"
    Percent with a disability,
        Estimate,17.00%
"Clermont County, Ohio",
    Total,
        Estimate,"209,534"
    With a disability,
        Estimate,"30,614"
    Percent with a disability,
        Estimate,14.60%
"Clinton County, Ohio",
    Total,
        Estimate,"41,722"
    With a disability,
        Estimate,"6,705"
    Percent with a disability,
        Estimate,16.10%
"Columbiana County, Ohio",
    Total,
        Estimate,"97,705"
    With a disability,
        Estimate,"17,963"
    Percent with a disability,
        Estimate,18.40%
"Coshocton County, Ohio",
    Total,
        Estimate,"36,452"
    With a disability,
        Estimate,"5,854"
    Percent with a disability,
        Estimate,16.10%
"Crawford County, Ohio",
    Total,
        Estimate,"41,216"
    With a disability,
        Estimate,"6,605"
    Percent with a disability,
        Estimate,16.00%
"Cuyahoga County, Ohio",
    Total,
        Estimate,"1,231,319"
    With a disability,
        Estimate,"191,501"
    Percent with a disability,
        Estimate,15.60%
"Darke County, Ohio",
    Total,
        Estimate,"51,055"
    With a disability,
        Estimate,"7,296"
    Percent with a disability,
        Estimate,14.30%
"Defiance County, Ohio",
    Total,
        Estimate,"38,014"
    With a disability,
        Estimate,"5,509"
    Percent with a disability,
        Estimate,14.50%
"Delaware County, Ohio",
    Total,
        Estimate,"225,867"
    With a disability,
        Estimate,"18,977"
    Percent with a disability,
        Estimate,8.40%
"Erie County, Ohio",
    Total,
        Estimate,"73,326"
    With a disability,
        Estimate,"11,576"
    Percent with a disability,
        Estimate,15.80%
"Fairfield County, Ohio",
    Total,
        Estimate,"159,985"
    With a disability,
        Estimate,"22,140"
    Percent with a disability,
        Estimate,13.80%
"Fayette County, Ohio",
    Total,
        Estimate,"28,554"
    With a disability,
        Estimate,"4,753"
    Percent with a disability,
        Estimate,16.60%
"Franklin County, Ohio",
    Total,
        Estimate,"1,324,603"
    With a disability,
        Estimate,"157,722"
    Percent with a disability,
        Estimate,11.90%
"Fulton County, Ohio",
    Total,
        Estimate,"41,868"
    With a disability,
        Estimate,"6,190"
    Percent with a disability,
        Estimate,14.80%
"Gallia County, Ohio",
    Total,
        Estimate,"28,698"
    With a disability,
        Estimate,"5,784"
    Percent with a disability,
        Estimate,20.20%
"Geauga County, Ohio",
    Total,
        Estimate,"94,629"
    With a disability,
        Estimate,"9,257"
    Percent with a disability,
        Estimate,9.80%
"Greene County, Ohio",
    Total,
        Estimate,"165,898"
    With a disability,
        Estimate,"22,882"
    Percent with a disability,
        Estimate,13.80%
"Guernsey County, Ohio",
    Total,
        Estimate,"37,879"
    With a disability,
        Estimate,"6,452"
    Percent with a disability,
        Estimate,17.00%
"Hamilton County, Ohio",
    Total,
        Estimate,"820,957"
    With a disability,
        Estimate,"107,153"
    Percent with a disability,
        Estimate,13.10%
"Hancock County, Ohio",
    Total,
        Estimate,"74,180"
    With a disability,
        Estimate,"9,279"
    Percent with a disability,
        Estimate,12.50%
"Hardin County, Ohio",
    Total,
        Estimate,"30,307"
    With a disability,
        Estimate,"3,744"
    Percent with a disability,
        Estimate,12.40%
"Harrison County, Ohio",
    Total,
        Estimate,"14,022"
    With a disability,
        Estimate,"2,422"
    Percent with a disability,
        Estimate,17.30%
"Henry County, Ohio",
    Total,
        Estimate,"27,229"
    With a disability,
        Estimate,"3,544"
    Percent with a disability,
        Estimate,13.00%
"Highland County, Ohio",
    Total,
        Estimate,"43,096"
    With a disability,
        Estimate,"7,825"
    Percent with a disability,
        Estimate,18.20%
"Hocking County, Ohio",
    Total,
        Estimate,"27,620"
    With a disability,
        Estimate,"4,850"
    Percent with a disability,
        Estimate,17.60%
"Holmes County, Ohio",
    Total,
        Estimate,"43,669"
    With a disability,
        Estimate,"3,492"
    Percent with a disability,
        Estimate,8.00%
"Huron County, Ohio",
    Total,
        Estimate,"57,811"
    With a disability,
        Estimate,"9,327"
    Percent with a disability,
        Estimate,16.10%
"Jackson County, Ohio",
    Total,
        Estimate,"32,345"
    With a disability,
        Estimate,"7,481"
    Percent with a disability,
        Estimate,23.10%
"Jefferson County, Ohio",
    Total,
        Estimate,"63,728"
    With a disability,
        Estimate,"11,107"
    Percent with a disability,
        Estimate,17.40%
"Knox County, Ohio",
    Total,
        Estimate,"62,418"
    With a disability,
        Estimate,"8,084"
    Percent with a disability,
        Estimate,13.00%
"Lake County, Ohio",
    Total,
        Estimate,"230,196"
    With a disability,
        Estimate,"32,121"
    Percent with a disability,
        Estimate,14.00%
"Lawrence County, Ohio",
    Total,
        Estimate,"56,271"
    With a disability,
        Estimate,"12,996"
    Percent with a disability,
        Estimate,23.10%
"Licking County, Ohio",
    Total,
        Estimate,"180,563"
    With a disability,
        Estimate,"27,590"
    Percent with a disability,
        Estimate,15.30%
"Logan County, Ohio",
    Total,
        Estimate,"45,764"
    With a disability,
        Estimate,"7,102"
    Percent with a disability,
        Estimate,15.50%
"Lorain County, Ohio",
    Total,
        Estimate,"311,613"
    With a disability,
        Estimate,"47,625"
    Percent with a disability,
        Estimate,15.30%
"Lucas County, Ohio",
    Total,
        Estimate,"423,265"
    With a disability,
        Estimate,"65,045"
    Percent with a disability,
        Estimate,15.40%
"Madison County, Ohio",
    Total,
        Estimate,"40,059"
    With a disability,
        Estimate,"5,635"
    Percent with a disability,
        Estimate,14.10%
"Mahoning County, Ohio",
    Total,
        Estimate,"222,198"
    With a disability,
        Estimate,"37,869"
    Percent with a disability,
        Estimate,17.00%
"Marion County, Ohio",
    Total,
        Estimate,"59,706"
    With a disability,
        Estimate,"10,298"
    Percent with a disability,
        Estimate,17.20%
"Medina County, Ohio",
    Total,
        Estimate,"182,374"
    With a disability,
        Estimate,"23,826"
    Percent with a disability,
        Estimate,13.10%
"Meigs County, Ohio",
    Total,
        Estimate,"21,711"
    With a disability,
        Estimate,"4,803"
    Percent with a disability,
        Estimate,22.10%
"Mercer County, Ohio",
    Total,
        Estimate,"42,028"
    With a disability,
        Estimate,"4,586"
    Percent with a disability,
        Estimate,10.90%
"Miami County, Ohio",
    Total,
        Estimate,"109,282"
    With a disability,
        Estimate,"13,790"
    Percent with a disability,
        Estimate,12.60%
"Monroe County, Ohio",
    Total,
        Estimate,"13,138"
